env_name,method,query_rate,feedback_noise,accuracy_mean,accuracy_std,gain_mean,gain_std,negative_transfer_rate,accept_rate
env_minus,fb_gate,0.1,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.0,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.0,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.0,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.001,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.001,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.001,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.005,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.005,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.005,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.01,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.01,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.01,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.02,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.02,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.02,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.05,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.05,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.05,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.1,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.1,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,frozen,0.1,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,zero_bit_update,0.0,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.0,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.0,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.001,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.001,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.001,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.005,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.005,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.005,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.01,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.01,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.01,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.02,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.02,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.02,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.05,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.05,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.05,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.1,0.0,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.1,0.05,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_minus,zero_bit_update,0.1,0.1,0.68925,0.00847975530307334,-0.177,0.006880679472261466,1.0,1.0
env_plus,fb_gate,0.0,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,fb_gate,0.0,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,fb_gate,0.0,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,fb_gate,0.001,0.0,0.88845,0.009683103841227761,0.022199999999999998,0.013527056220774724,0.0,0.8
env_plus,fb_gate,0.001,0.05,0.88845,0.009683103841227761,0.022199999999999998,0.013527056220774724,0.0,0.8
env_plus,fb_gate,0.001,0.1,0.88845,0.009683103841227761,0.022199999999999998,0.013527056220774724,0.0,0.8
env_plus,fb_gate,0.005,0.0,0.88665,0.015006873425200858,0.020399999999999995,0.012225230059184985,0.0,0.8
env_plus,fb_gate,0.005,0.05,0.88005,0.016499431808398766,0.01379999999999999,0.012623638540452582,0.0,0.6
env_plus,fb_gate,0.005,0.1,0.88005,0.016499431808398766,0.01379999999999999,0.012623638540452582,0.0,0.6
env_plus,fb_gate,0.01,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.01,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.01,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.02,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.02,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.02,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.05,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.05,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.05,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.1,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.1,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,fb_gate,0.1,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,frozen,0.0,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.0,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.0,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.001,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.001,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.001,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.005,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.005,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.005,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.01,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.01,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.01,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.02,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.02,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.02,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.05,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.05,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.05,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.1,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.1,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,frozen,0.1,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_plus,zero_bit_update,0.0,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.0,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.0,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.001,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.001,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.001,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.005,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.005,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.005,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.01,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.01,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.01,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.02,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.02,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.02,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.05,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.05,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.05,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.1,0.0,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.1,0.05,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
env_plus,zero_bit_update,0.1,0.1,0.8933,0.004903442668166926,0.027049999999999998,0.005605243081258849,0.0,1.0
